listing_id,city,neighborhood_original,neighborhood_rejection_reason
mubawab.ma:native:8317038,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8317090,Agadir,le quartier recherché de Hay El Qods à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8317347,Larache,Larache,same_as_city
mubawab.ma:native:8317775,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8319598,Marrakech,un secteur recherché à proximité de l’Hivernage à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8320222,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8320580,Essaouira,Essaouira,same_as_city
mubawab.ma:native:8323163,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8323234,Marrakech,l’un des quartiers les plus prisés de,trailing_preposition
mubawab.ma:native:8324192,Marrakech,l'un des domaines les plus prisés de,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8326830,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8326976,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8328092,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8328828,Marrakech,rénover Jardin Ascenseur Concierge Hivernage à,trailing_preposition
mubawab.ma:native:8329360,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8329860,Marrakech,Vous êtes à la recherche d’un bien d’exception à,token_count|trailing_preposition
mubawab.ma:native:8330900,Marrakech,où tout se passe. Atlas,sentence_punctuation
mubawab.ma:native:8332009,Marrakech,le quartier prisé de Victor Hugo à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8332552,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8333218,Marrakech,Palmeraie à un prix exceptionnel ! Atlas,sentence_or_promotional_phrase|sentence_punctuation
mubawab.ma:native:8333663,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8333718,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8334001,Berrechid,Lumière près de la Promesse du Printemps à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8334306,Agadir,vos projets immobiliers à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8334841,Marrakech,laver Camp Al Ghoul à,trailing_preposition
mubawab.ma:native:8335005,Agadir,le quartier recherché de Hay El Qods à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8335736,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8336296,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8336900,Casablanca,un quartier prisé de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8337882,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8338751,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8339120,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8339219,Marrakech,Studios haut standing sur plan à,trailing_preposition
mubawab.ma:native:8339254,Marrakech,le quartier recherché d’Amelkis à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8340175,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8340771,Marrakech,laver Route Casablanca à,trailing_preposition
mubawab.ma:native:8342739,Agadir,laver Hay Houda à,trailing_preposition
mubawab.ma:native:8343672,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8344350,Marrakech,le prestigieux quartier de la Palmeraie à,trailing_preposition
mubawab.ma:native:8344410,Agadir,laver Hay Al Farah à,trailing_preposition
mubawab.ma:native:8344466,Marrakech,votre disposition. Atlas,sentence_punctuation
mubawab.ma:native:8345025,Marrakech,7 km du centre de,trailing_preposition
mubawab.ma:native:8346040,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8346512,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8348047,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8348350,Agadir,1 er étage résidence miftah essahel à anza,token_count
mubawab.ma:native:8348726,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8349481,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8351023,Marrakech,le quartier de la Route de Safi à,token_count|trailing_preposition
mubawab.ma:native:8351338,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8351357,Marrakech,laver Hivernage à,trailing_preposition
mubawab.ma:native:8351442,Agadir,laver Riad Salam à,trailing_preposition
mubawab.ma:native:8352218,Marrakech,2 à,trailing_preposition
mubawab.ma:native:8352307,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8352848,Larache,la ville dynamique de,trailing_preposition
mubawab.ma:native:8353154,Marrakech,divers points d'intérêt. Le centre animé de,token_count|sentence_or_promotional_phrase|sentence_punctuation|trailing_preposition
mubawab.ma:native:8353441,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8354383,Marrakech,1 à,trailing_preposition
mubawab.ma:native:8354821,Agadir,le quartier prisé de Hay Dakhla à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8355910,Marrakech,laver Agdal à,trailing_preposition
mubawab.ma:native:8355987,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8356039,Marrakech,laver Agdal à,trailing_preposition
mubawab.ma:native:8356389,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8356563,Marrakech,quelques minutes du centre de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8357209,Marrakech,une résidence calme et sécurisée à la Palmeraie de,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8358119,Marrakech,quelques minutes de la Médina historique de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8358124,Marrakech,place d'Arme de,trailing_preposition
mubawab.ma:native:8358686,Agadir,le quartier animé de Salam à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8359255,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8359675,Marrakech,l’un des projets les plus prometteurs de,trailing_preposition
mubawab.ma:native:8360703,Marrakech,le dynamique quartier de Guéliz à,trailing_preposition
mubawab.ma:native:8360937,Agadir,le quartier de Hay Adrar à,trailing_preposition
mubawab.ma:native:8361504,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8362368,Marrakech,Situé au cœur du prestigieux quartier de Prestigia,token_count|sentence_or_promotional_phrase
mubawab.ma:native:8362819,Marrakech,par sa vue dégagée sur la Palmeraie de,token_count|trailing_preposition
mubawab.ma:native:8363467,Marrakech,le quartier prisé de l'Agdal à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8363491,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8363530,Marrakech,deux pas du centre commercial carré Eden et plaza,token_count|sentence_or_promotional_phrase
mubawab.ma:native:8363575,Marrakech,l’un des quartiers les plus prisés de,trailing_preposition
mubawab.ma:native:8363807,Marrakech,15 minutes à pied. Centre ville de,sentence_or_promotional_phrase|sentence_punctuation|measurement_or_travel_time|trailing_preposition
mubawab.ma:native:8363909,Marrakech,prestigieuse Avenue Mohammed VI à,trailing_preposition
mubawab.ma:native:8364137,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8364583,Marrakech,laver Hivernage à,trailing_preposition
mubawab.ma:native:8365393,Marrakech,Saphir VE26222 Votre agence immobilière à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8365878,Marrakech,l’un des projets les plus prometteurs de,trailing_preposition
mubawab.ma:native:8365898,Marrakech,quelques pas de la gare de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8366189,Marrakech,un cadre privilégié au cœur de la Palmeraie de,token_count|trailing_preposition
mubawab.ma:native:8366482,Marrakech,l'achat à Route de Safi à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8367517,Agadir,laver Hay Salam à,trailing_preposition
mubawab.ma:native:8367887,Agadir,"le quartier ""City Adrar"" à",trailing_preposition
mubawab.ma:native:8368629,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8369314,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8369412,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8369417,Marrakech,Route de Casablanca à,trailing_preposition
mubawab.ma:native:8369610,Marrakech,Route de Casablanca à,trailing_preposition
mubawab.ma:native:8369845,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8370495,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8370772,Marrakech,un secteur prisé de,trailing_preposition
mubawab.ma:native:8370860,Agadir,de luxe est située dans le quartier d'Iligh à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8371002,Marrakech,un secteur recherché de,trailing_preposition
mubawab.ma:native:8371065,Marrakech,l’une des adresses les plus recherchées de,trailing_preposition
mubawab.ma:native:8371164,Marrakech,le secteur dynamique de Daoudiate à,trailing_preposition
mubawab.ma:native:8371343,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8371396,Marrakech,Route de Safi à,trailing_preposition
mubawab.ma:native:8371688,Marrakech,côté du Stade de,trailing_preposition
mubawab.ma:native:8371716,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8372562,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8372895,Agadir,le quartier prisé de Riad Salam à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8373243,Marrakech,laver Agdal à,trailing_preposition
mubawab.ma:native:8373603,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8373711,Marrakech,VINCI L’art de vivre contemporain à,trailing_preposition
mubawab.ma:native:8373797,Marrakech,un secteur prisé de,trailing_preposition
mubawab.ma:native:8374102,Agadir,le quartier recherché de Hay Qods à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8374105,Marrakech,1 à,trailing_preposition
mubawab.ma:native:8374155,Marrakech,le prestigieux quartier de l'Hivernage à,trailing_preposition
mubawab.ma:native:8374260,Marrakech,Palmeraie de,trailing_preposition
mubawab.ma:native:8374278,Marrakech,le quartier Mhamid de,trailing_preposition
mubawab.ma:native:8374797,Marrakech,l’un des secteurs les plus recherchés de,trailing_preposition
mubawab.ma:native:8375768,Marrakech,seulement 150 mètres du Sofitel,sentence_or_promotional_phrase|measurement_or_travel_time
mubawab.ma:native:8376439,Berrechid,le quartier de Berrechid à,trailing_preposition
mubawab.ma:native:8376475,Marrakech,le quartier prisé de la Route de l'Ourika à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8376766,Agadir,le quartier Mohammedi à,trailing_preposition
mubawab.ma:native:8376947,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8377108,Marrakech,prestigieuse Palmeraie de,trailing_preposition
mubawab.ma:native:8377275,Marrakech,l'hivernage le meilleur quartier de,trailing_preposition
mubawab.ma:native:8377434,Marrakech,le quartier vibrant de Majorelle à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8377764,Marrakech,la région de,trailing_preposition
mubawab.ma:native:8378168,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8378308,Marrakech,l’un des secteurs les plus prisés de,trailing_preposition
mubawab.ma:native:8378322,Marrakech,5 minutes de l'aéroport,measurement_or_travel_time
mubawab.ma:native:8378687,Agadir,le quartier recherché de l'Extension Dakhla à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8379384,Marrakech,2 à,trailing_preposition
mubawab.ma:native:8379963,Marrakech,Marrakech Une adresse d'exception à,trailing_preposition
mubawab.ma:native:8380015,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8380039,Agadir,laver Secteur Touristique à,trailing_preposition
mubawab.ma:native:8380247,Marrakech,l'un des domaines résidentiels les plus prisés de,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8380501,Marrakech,Médina de,trailing_preposition
mubawab.ma:native:8380802,Marrakech,Palmeraie de,trailing_preposition
mubawab.ma:native:8381070,Marrakech,quelques pas. Le centre vibrant de,sentence_punctuation|trailing_preposition
mubawab.ma:native:8381217,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8381849,Marrakech,ville animée de,trailing_preposition
mubawab.ma:native:8382669,Marrakech,Route de Casablanca à,trailing_preposition
mubawab.ma:native:8382824,Marrakech,l'un des secteurs les plus prisés et dynamiques de,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8382992,Marrakech,Marrakech. Contactez CLS IMMO,sentence_or_promotional_phrase|sentence_punctuation
mubawab.ma:native:8383031,Marrakech,le prestigieux quartier de l'Hivernage à,trailing_preposition
mubawab.ma:native:8383035,Marrakech,Palmeraie de,trailing_preposition
mubawab.ma:native:8383164,Marrakech,gare de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8383689,Marrakech,Route d’Agadir à,trailing_preposition
mubawab.ma:native:8383837,Marrakech,un emplacement privilégié à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8384354,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8384659,Marrakech,3 minutes du nouveau Morocco Mall,measurement_or_travel_time
mubawab.ma:native:8384684,Agadir,le quartier prisé de Hay Mohammadi à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8384838,Agadir,le quartier recherché d'Al Wifaq à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8384898,Marrakech,Gare ferroviaire Centrale de,trailing_preposition
mubawab.ma:native:8385012,Marrakech,ville • À seulement quelques minutes de l'aéroport,token_count|sentence_or_promotional_phrase|sentence_punctuation
mubawab.ma:native:8385388,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8385641,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8385857,Marrakech,le quartier exclusif de M Avenue à,trailing_preposition
mubawab.ma:native:8385865,Marrakech,la région de,trailing_preposition
mubawab.ma:native:8386091,Marrakech,les résidences de,trailing_preposition
mubawab.ma:native:8386152,Agadir,le quartier de Tilila à,trailing_preposition
mubawab.ma:native:8386178,Marrakech,saisir sur,trailing_preposition
mubawab.ma:native:8386184,Marrakech,saisir sur,trailing_preposition
mubawab.ma:native:8386261,Casablanca,acheter à,trailing_preposition
mubawab.ma:native:8386451,Marrakech,quelques minutes de la gare de train centrale de,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8386478,Marrakech,la prestigieuse résidence La Perle de l'Atlas à,token_count|trailing_preposition
mubawab.ma:native:8386668,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8386720,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8386849,Marrakech,le quartier de Mhamid 9 a,trailing_preposition
mubawab.ma:native:8387966,Agadir,la Résidence STILIA à,trailing_preposition
mubawab.ma:native:8388553,Marrakech,laver Route Amizmiz à,trailing_preposition
mubawab.ma:native:8388841,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8389430,Marrakech,saisir sur,trailing_preposition
mubawab.ma:native:8389504,Marrakech,rénover Terrasse Sidi Ben Slimane El Jazouli à,token_count|trailing_preposition
mubawab.ma:native:8389809,Agadir,le quartier recherché de Hay Essalam à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8390060,Marrakech,le quartier le plus dynamique de,trailing_preposition
mubawab.ma:native:8390476,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8391164,Essaouira,Essaouira,same_as_city
mubawab.ma:native:8391210,Marrakech,la ville dynamique de,trailing_preposition
mubawab.ma:native:8391284,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8391349,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8391516,Marrakech,5 minutes à pied de la gare de,token_count|sentence_or_promotional_phrase|measurement_or_travel_time|trailing_preposition
mubawab.ma:native:8391583,Marrakech,le charmant quartier de Route de Tahanaout à,token_count|trailing_preposition
mubawab.ma:native:8391587,Marrakech,proche de l’aéroport de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8392005,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8392025,Marrakech,prestigieuse résidence Noria Golf à,trailing_preposition
mubawab.ma:native:8392155,Agadir,vos projets immobiliers à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8392188,Marrakech,saisir sur,trailing_preposition
